field_name,local_name,version,field_order,controlled,max_length,xsd_type,text
MultiScientificName2,MultiScientificName2,BMDE2.00,155,No,50,xsd:string,"Full scientific name of one of the possible taxa involved in this record, in cases where the record is one of several possible taxa. In cases of species grouping, the core taxonomic fields should only be provided if they apply to all possible taxa in the group. The various species that belong to this group should be listed for all records, even if some of them have not been actually detected in a specific record. Up to 6 member taxa can be recorded using the 6 MultiScientificName fields."
MultiScientificName3,MultiScientificName3,BMDE2.00,156,No,50,xsd:string,"Full scientific name of one of the possible taxa involved in this record, in cases where the record is one of several possible taxa. In cases of species grouping, the core taxonomic fields should only be provided if they apply to all possible taxa in the group. The various species that belong to this group should be listed for all records, even if some of them have not been actually detected in a specific record. Up to 6 member taxa can be recorded using the 6 MultiScientificName fields."
MultiScientificName4,MultiScientificName4,BMDE2.00,157,No,50,xsd:string,"Full scientific name of one of the possible taxa involved in this record, in cases where the record is one of several possible taxa. In cases of species grouping, the core taxonomic fields should only be provided if they apply to all possible taxa in the group. The various species that belong to this group should be listed for all records, even if some of them have not been actually detected in a specific record. Up to 6 member taxa can be recorded using the 6 MultiScientificName fields."
MultiScientificName5,MultiScientificName5,BMDE2.00,158,No,50,xsd:string,"Full scientific name of one of the possible taxa involved in this record, in cases where the record is one of several possible taxa. In cases of species grouping, the core taxonomic fields should only be provided if they apply to all possible taxa in the group. The various species that belong to this group should be listed for all records, even if some of them have not been actually detected in a specific record. Up to 6 member taxa can be recorded using the 6 MultiScientificName fields."
MultiScientificName6,MultiScientificName6,BMDE2.00,159,No,50,xsd:string,"Full scientific name of one of the possible taxa involved in this record, in cases where the record is one of several possible taxa. In cases of species grouping, the core taxonomic fields should only be provided if they apply to all possible taxa in the group. The various species that belong to this group should be listed for all records, even if some of them have not been actually detected in a specific record. Up to 6 member taxa can be recorded using the 6 MultiScientificName fields."
TaxonomicAuthorityAuthors,TaxonomicAuthorityAuthors,BMDE2.00,160,Weak,64,xsd:string,Name of the author(s) who published the taxonomic authority used for this record.
TaxonomicAuthorityVersion,TaxonomicAuthorityVersion,BMDE2.00,161,No,32,xsd:string,Version number (including minor version or supplement number) of the taxonomic authority
TaxonomicAuthorityYear,TaxonomicAuthorityYear,BMDE2.00,162,No,12,xsd:string,"Year of publication of the taxonomic authority, including minor version and supplement."
SpeciesCode,SpeciesCode,BMDE2.00,163,No,12,xsd:string,Alphanumerical code describing a species in the native database. Should only be provided when species codes were used to describe species in the original database.
TaxonConceptID,TaxonConceptID,BMDE2.00,164,No,50,xsd:string,A unique identifier for the taxon concept (a circumscription of a taxonName).
BreedingBirdAtlasCode,BreedingBirdAtlasCode,BMDE2.00,165,Weak,12,xsd:string,"Breeding Bird Atlas evidence code, using North American Atlas Committee standards. See https://www.birdscanada.org/norac/"
HabitatDescription,HabitatDescription,BMDE2.00,166,No,-1,xsd:string,General description of the habitat within the survey area.
Remarks2,Remarks2,BMDE2.00,167,No,-1,xsd:string,"Additional remarks field, not already included in Remarks."
LastModifiedAction,LastModifiedAction,BMDE2.00,168,Strong,12,xsd:string,The last action that was taken on this record at DateLastModified.
RecordReviewStatus,RecordReviewStatus,BMDE2.00,169,Weak,12,xsd:string,Current review status or decision regarding this individual record.
